trading day, Stock price
1180,104.105
1181,104.092
1182,104.389
1183,105.477
1184,105.064
1185,105.909
1186,106.146
1187,106.158
1188,108.287
1189,108.332
1190,107.619
1191,106.287
1192,106.75
1193,106.529
1194,106.696
1195,105.245
1196,104.573
1197,105.186
1198,105.814
1199,105.496
1200,106.009
1201,106.211
1202,105.556
1203,104.713
1204,105.296
1205,104.774
1206,106.326
1207,106.187
1208,107.771
1209,107.685
1210,107.811
1211,108.589
1212,108.104
1213,108.605
1214,107.983
1215,108.339
1216,107.849
1217,107.043
1218,108.086
1219,108.353
1220,109.728
1221,109.767
1222,110.778
1223,112.348
1224,110.147
1225,110.141
1226,109.679
1227,108.606
1228,107.822
1229,109.689
1230,110.241
1231,110.116
1232,111.717
1233,111.797
1234,110.691
1235,112.539
1236,113.661
1237,113.087
1238,116.338
1239,115.707
1240,115.503
1241,114.588
1242,112.464
1243,111.871
1244,111.933
1245,110.207
1246,110.225
1247,107.916
1248,109.218
1249,108.62
1250,107.458
1251,106.931
1252,105.563
1253,104.193
1254,105.864
1255,104.473
1256,103.308
1257,104.704
1258,104.148
1259,103.641
1260,102.992
1261,103.151
1262,103.493
1263,101.877
1264,101.897
1265,102.243
1266,102.295
1267,103.016
1268,102.483
1269,103.649
1270,103.062
1271,102.966
1272,103.209
1273,103.531
1274,104.823
1275,103.242
1276,103.341
1277,103.028
1278,104.04
1279,104.123
1280,104.58
1281,103.938
1282,103.102
1283,103.036
1284,103.105
1285,102.677
1286,101.891
1287,101.323
1288,102.674
1289,102.465
1290,101.944
1291,102.815
1292,104.25
1293,105.199
1294,106.383
1295,107.393
1296,107.685
1297,106.524
1298,105.971
1299,104.679
1300,102.739
1301,101.646
1302,102.208
1303,102.14
1304,100.799
1305,102.742
1306,102.428
1307,102.943
1308,104.298
1309,103.706
1310,103.012
1311,103.859
1312,103.471
1313,102.239
1314,101.62
1315,100.294
1316,100.215
1317,100.823
1318,100.964
1319,100.518
1320,102.559
1321,103.255
1322,104.537
1323,103.988
1324,104.229
1325,104.015
1326,104.232
1327,104.993
1328,105.05
1329,104.653
1330,104.796
1331,105.822
1332,106.101
1333,105.644
1334,105.92
1335,105.399
1336,106.588
1337,107.415
1338,105.736
1339,105.89
1340,106.481
1341,107.583
1342,108.241
1343,109.558
1344,109.412
1345,108.948
1346,108.683
1347,110.14
1348,109.263
1349,107.761
1350,106.998
1351,107.952
1352,110.616
1353,110.773
1354,109.166
1355,111.385
1356,111.88
1357,114.125
1358,113.73
1359,113.524
1360,113.964
1361,114.787
1362,114.897
1363,113.351
1364,114.616
1365,116.079
1366,117.684
1367,117.89
1368,118.424
1369,117.616
1370,118.264
1371,119.257
1372,118.514
1373,116.283
1374,117.285
1375,117.962
1376,117.253
1377,116.048
1378,117.922
1379,117.71
1380,118.809
1381,118.808
1382,117.736
1383,120.1
1384,121.225
1385,120.052
1386,120.963
1387,121.596
1388,122.03
1389,122.966
1390,125.219
1391,123.499
1392,125.437
1393,123.183
1394,121.258
1395,120.033
1396,119.192
1397,118.693
1398,120.458
1399,120.553
1400,120.685
1401,119.896
1402,120.888
1403,121.437
1404,120.005
1405,118.644
1406,118.555
1407,118.177
1408,119.389
1409,118.178
1410,117.567
1411,117.871
1412,117.571
1413,115.825
1414,117.124
1415,118.208
1416,116.637
1417,115.61
1418,114.286
1419,115.778
1420,115.765
1421,115.595
1422,115.749
1423,117.371
1424,117.571
1425,116.028
1426,115.738
1427,117.226
1428,116.489
1429,116.082
1430,115.063
1431,114.461
1432,113.708
1433,114.25
1434,113.489
1435,113.548
1436,113.591
1437,113.71
1438,113.591
1439,115.259
1440,113.666
1441,113.299
1442,112.002
1443,110.651
1444,110.848
1445,113.129
1446,114.994
1447,113.82
1448,113.645
1449,112.672
1450,111.584
1451,113.378
1452,111.957
1453,110.439
1454,111.179
1455,111.33
1456,112.392
1457,110.586
1458,110.823
1459,111.503
1460,111.502
1461,113.587
1462,115.459
1463,117.182
1464,115.732
1465,115.541
1466,117.602
1467,119.257
1468,120.488
1469,119.298
1470,119.519
1471,119.778
1472,120.766
1473,117.926
1474,117.543
1475,118.304
1476,119.112
1477,120.867
1478,119.321
1479,118.775
1480,120.537
1481,121.216
1482,119.104
1483,120.645
1484,119.814
1485,120.123
1486,121.418
1487,122.15
1488,124.164
1489,126.613
1490,125.936
1491,126.136
1492,124.812
1493,125.377
1494,124.77
1495,126.073
1496,126.288
1497,127.203
1498,126.571
1499,125.649
1500,127.243
